rootAge_hpd_min,1847
rootAge_hpd_max,1952
rootAge_mean,1908
rootAge_median,1917
clockRate_hpd_min,1.32$ \times 10^{-4}$
clockRate_hpd_max,3.10$ \times 10^{-4}$
clockRate_mean,2.30$ \times 10^{-4}$
clockRate_median,2.34$ \times 10^{-4}$
latentBranches_hpd_min,6
latentBranches_hpd_max,11
latentBranches_mean,8.3
latentBranches_median,8
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.12
latentStateRate_mean,0.07
latentStateRate_median,0.07
latentStateBias_hpd_min,0.411
latentStateBias_hpd_max,0.933
latentStateBias_mean,0.67
latentStateBias_median,0.68
