rootAge_hpd_min,1876
rootAge_hpd_max,1955
rootAge_mean,1921
rootAge_median,1928
clockRate_hpd_min,1.34$ \times 10^{-4}$
clockRate_hpd_max,3.18$ \times 10^{-4}$
clockRate_mean,2.32$ \times 10^{-4}$
clockRate_median,2.37$ \times 10^{-4}$
latentBranches_hpd_min,5
latentBranches_hpd_max,9
latentBranches_mean,6.5
latentBranches_median,6
latentStateRate_hpd_min,0.02
latentStateRate_hpd_max,0.07
latentStateRate_mean,0.04
latentStateRate_median,0.04
latentStateBias_hpd_min,0.370
latentStateBias_hpd_max,0.890
latentStateBias_mean,0.65
latentStateBias_median,0.66
