rootAge_hpd_min,1910
rootAge_hpd_max,1944
rootAge_mean,1932
rootAge_median,1937
clockRate_hpd_min,1.99$ \times 10^{-4}$
clockRate_hpd_max,2.82$ \times 10^{-4}$
clockRate_mean,2.41$ \times 10^{-4}$
clockRate_median,2.46$ \times 10^{-4}$
latentBranches_hpd_min,5
latentBranches_hpd_max,10
latentBranches_mean,5.9
latentBranches_median,5
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.08
latentStateRate_mean,0.05
latentStateRate_median,0.05
latentStateBias_hpd_min,0.403
latentStateBias_hpd_max,0.787
latentStateBias_mean,0.59
latentStateBias_median,0.57
