rootAge_hpd_min,1863
rootAge_hpd_max,1953
rootAge_mean,1915
rootAge_median,1921
clockRate_hpd_min,1.63$ \times 10^{-4}$
clockRate_hpd_max,3.20$ \times 10^{-4}$
clockRate_mean,2.44$ \times 10^{-4}$
clockRate_median,2.45$ \times 10^{-4}$
latentBranches_hpd_min,6
latentBranches_hpd_max,10
latentBranches_mean,7.6
latentBranches_median,7
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.09
latentStateRate_mean,0.06
latentStateRate_median,0.06
latentStateBias_hpd_min,0.428
latentStateBias_hpd_max,0.919
latentStateBias_mean,0.69
latentStateBias_median,0.70
