rootAge_hpd_min,1880
rootAge_hpd_max,1952
rootAge_mean,1921
rootAge_median,1924
clockRate_hpd_min,1.81$ \times 10^{-4}$
clockRate_hpd_max,3.71$ \times 10^{-4}$
clockRate_mean,2.78$ \times 10^{-4}$
clockRate_median,2.76$ \times 10^{-4}$
latentBranches_hpd_min,7
latentBranches_hpd_max,11
latentBranches_mean,8.4
latentBranches_median,8
latentStateRate_hpd_min,0.04
latentStateRate_hpd_max,0.11
latentStateRate_mean,0.07
latentStateRate_median,0.07
latentStateBias_hpd_min,0.613
latentStateBias_hpd_max,0.976
latentStateBias_mean,0.81
latentStateBias_median,0.83
