rootAge_hpd_min,1883
rootAge_hpd_max,1943
rootAge_mean,1919
rootAge_median,1924
clockRate_hpd_min,1.35$ \times 10^{-4}$
clockRate_hpd_max,2.92$ \times 10^{-4}$
clockRate_mean,2.26$ \times 10^{-4}$
clockRate_median,2.30$ \times 10^{-4}$
latentBranches_hpd_min,5
latentBranches_hpd_max,8
latentBranches_mean,6.4
latentBranches_median,6
latentStateRate_hpd_min,0.02
latentStateRate_hpd_max,0.07
latentStateRate_mean,0.04
latentStateRate_median,0.04
latentStateBias_hpd_min,0.408
latentStateBias_hpd_max,0.898
latentStateBias_mean,0.68
latentStateBias_median,0.68
