rootAge_hpd_min,1923
rootAge_hpd_max,1959
rootAge_mean,1942
rootAge_median,1945
clockRate_hpd_min,1.83$ \times 10^{-4}$
clockRate_hpd_max,3.30$ \times 10^{-4}$
clockRate_mean,2.56$ \times 10^{-4}$
clockRate_median,2.56$ \times 10^{-4}$
latentBranches_hpd_min,4
latentBranches_hpd_max,7
latentBranches_mean,5.1
latentBranches_median,5
latentStateRate_hpd_min,0.02
latentStateRate_hpd_max,0.10
latentStateRate_mean,0.06
latentStateRate_median,0.06
latentStateBias_hpd_min,0.360
latentStateBias_hpd_max,0.949
latentStateBias_mean,0.66
latentStateBias_median,0.67
