rootAge_hpd_min,1930
rootAge_hpd_max,1930
rootAge_mean,1936
rootAge_median,1936
clockRate_hpd_min,2.24$ \times 10^{-4}$
clockRate_hpd_max,2.24$ \times 10^{-4}$
clockRate_mean,2.43$ \times 10^{-4}$
clockRate_median,2.43$ \times 10^{-4}$
latentBranches_hpd_min,6
latentBranches_hpd_max,6
latentBranches_mean,8
latentBranches_median,8
latentStateRate_hpd_min,0.06
latentStateRate_hpd_max,0.06
latentStateRate_mean,0.07
latentStateRate_median,0.07
latentStateBias_hpd_min,0.341
latentStateBias_hpd_max,0.341
latentStateBias_mean,0.54
latentStateBias_median,0.54
