rootAge_hpd_min,1919
rootAge_hpd_max,1958
rootAge_mean,1941
rootAge_median,1943
clockRate_hpd_min,1.73$ \times 10^{-4}$
clockRate_hpd_max,3.25$ \times 10^{-4}$
clockRate_mean,2.51$ \times 10^{-4}$
clockRate_median,2.52$ \times 10^{-4}$
latentBranches_hpd_min,5
latentBranches_hpd_max,9
latentBranches_mean,6.2
latentBranches_median,6
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.11
latentStateRate_mean,0.07
latentStateRate_median,0.07
latentStateBias_hpd_min,0.441
latentStateBias_hpd_max,0.961
latentStateBias_mean,0.71
latentStateBias_median,0.73
