rootAge_hpd_min,1887
rootAge_hpd_max,1957
rootAge_mean,1929
rootAge_median,1935
clockRate_hpd_min,1.41$ \times 10^{-4}$
clockRate_hpd_max,3.19$ \times 10^{-4}$
clockRate_mean,2.34$ \times 10^{-4}$
clockRate_median,2.38$ \times 10^{-4}$
latentBranches_hpd_min,5
latentBranches_hpd_max,9
latentBranches_mean,6.6
latentBranches_median,6
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.10
latentStateRate_mean,0.07
latentStateRate_median,0.06
latentStateBias_hpd_min,0.438
latentStateBias_hpd_max,0.955
latentStateBias_mean,0.71
latentStateBias_median,0.72
