rootAge_hpd_min,1904
rootAge_hpd_max,1947
rootAge_mean,1928
rootAge_median,1930
clockRate_hpd_min,1.74$ \times 10^{-4}$
clockRate_hpd_max,2.99$ \times 10^{-4}$
clockRate_mean,2.31$ \times 10^{-4}$
clockRate_median,2.31$ \times 10^{-4}$
latentBranches_hpd_min,6
latentBranches_hpd_max,10
latentBranches_mean,7.5
latentBranches_median,7
latentStateRate_hpd_min,0.03
latentStateRate_hpd_max,0.09
latentStateRate_mean,0.06
latentStateRate_median,0.06
latentStateBias_hpd_min,0.418
latentStateBias_hpd_max,0.927
latentStateBias_mean,0.66
latentStateBias_median,0.67
